ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,1,32,256,10,1,1048576,20,4,6,81.512,5515.76,2.86
8,8,1,32,256,10,1,5242880,20,4,6,79.386,5663.47,2.86
8,8,1,32,256,10,2,1048576,20,4,6,66.040,6808.01,2.79
8,8,1,32,256,10,2,5242880,20,4,6,64.120,7011.86,2.79
8,8,1,32,256,10,3,1048576,20,4,6,67.249,6685.61,2.84
8,8,1,32,256,10,3,5242880,20,4,6,67.849,6626.49,2.84
8,8,1,32,256,10,4,1048576,20,4,6,61.781,7277.33,2.93
8,8,1,32,256,10,4,5242880,20,4,6,65.892,6823.30,2.93
8,8,1,32,256,50,1,1048576,20,4,6,63.067,7128.94,2.42
8,8,1,32,256,50,1,5242880,20,4,6,88.520,5079.08,2.42
8,8,1,32,256,50,2,1048576,20,4,6,64.236,6999.20,2.44
8,8,1,32,256,50,2,5242880,20,4,6,81.574,5511.57,2.44
8,8,1,32,256,50,3,1048576,20,4,6,61.012,7369.05,2.46
8,8,1,32,256,50,3,5242880,20,4,6,64.831,6934.96,2.46
8,8,1,32,256,50,4,1048576,20,4,6,62.466,7197.53,2.50
8,8,1,32,256,50,4,5242880,20,4,6,62.276,7219.49,2.50
8,8,1,32,256,256,1,1048576,20,4,6,87.615,5131.55,2.20
8,8,1,32,256,256,1,5242880,20,4,6,63.898,7036.22,2.20
8,8,1,32,256,256,2,1048576,20,4,6,78.303,5741.81,2.20
8,8,1,32,256,256,2,5242880,20,4,6,72.002,6244.28,2.20
8,8,1,32,256,256,3,1048576,20,4,6,67.019,6708.56,2.20
8,8,1,32,256,256,3,5242880,20,4,6,65.514,6862.67,2.20
8,8,1,32,256,256,4,1048576,20,4,6,69.642,6455.88,2.20
8,8,1,32,256,256,4,5242880,20,4,6,64.535,6966.77,2.20
8,8,1,32,1024,10,1,1048576,20,4,6,164.511,2732.95,2.99
8,8,1,32,1024,10,1,5242880,20,4,6,166.618,2698.39,2.99
8,8,1,32,1024,10,2,1048576,20,4,6,164.014,2741.23,2.91
8,8,1,32,1024,10,2,5242880,20,4,6,164.087,2740.01,2.91
8,8,1,32,1024,10,3,1048576,20,4,6,164.125,2739.38,2.93
8,8,1,32,1024,10,3,5242880,20,4,6,158.414,2838.13,2.93
8,8,1,32,1024,10,4,1048576,20,4,6,160.195,2806.58,3.08
8,8,1,32,1024,10,4,5242880,20,4,6,156.971,2864.22,3.08
8,8,1,32,1024,50,1,1048576,20,4,6,163.031,2757.76,2.43
8,8,1,32,1024,50,1,5242880,20,4,6,164.995,2724.93,2.43
8,8,1,32,1024,50,2,1048576,20,4,6,159.752,2814.36,2.49
